name,followers,popularity,genres,image_url,external_url
Volo Der No,30,0,[],https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Ethismos,13738,48,"['greek drill', 'greek underground rap']",https://i.scdn.co/image/ab6761610000517468b2f7306066718503793a11,https://open.spotify.com/artist/3us9fVKGxelK4OfEMng997
Eminem,53968800,95,"['detroit hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Pix Lax,76481,48,"['classic greek rock', 'greek pop', 'laiko']",https://i.scdn.co/image/ab676161000051742c760d9f5b404735f0abee2d,https://open.spotify.com/artist/0UHy12S8f94Sa0jc4dd6Jz
Xatzifrageta,14510,47,[],https://i.scdn.co/image/ab676161000051743499d0e08f33102980789a4e,https://open.spotify.com/artist/2bTXCQgBuhqdm0MAmgMnfE
Audiomachine,221009,61,"['epicore', 'video game music']",https://i.scdn.co/image/ab67616d00001e021174c6dc57521ec54716413d,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Two Steps from Hell,677731,68,"['epicore', 'orchestral soundtrack', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
DMX,3262884,75,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/ab6772690000dd223074f51af22630a1c86da016,https://open.spotify.com/artist/1HwM5zlC5qNWhJtM00yXzG
Xzibit,1469234,71,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",https://i.scdn.co/image/ab67616100005174b04749391ab206764049c219,https://open.spotify.com/artist/4tujQJicOnuZRLiBFdp3Ou
Otaku,25119,67,['anime lo-fi'],https://i.scdn.co/image/ab676161000051746ec8f0e52d8540f3f2d72135,https://open.spotify.com/artist/4uV63QZhfi1U3oe38acQJA
LoFi Waiter,15939,70,[],https://i.scdn.co/image/ab676161000051742576a1099bd554479e2e0e12,https://open.spotify.com/artist/5H5W5vmpQSBmQv1uMVor61
Kanye West,16843493,96,"['chicago rap', 'rap']",https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Rapsodos Filologos,2230,24,[],https://i.scdn.co/image/ab67616d00001e020946a957d9986be11fb79d7a,https://open.spotify.com/artist/2q1RJcnGSwrhT6pP2Ce8UU
Dr. Dre,7004182,86,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",https://i.scdn.co/image/170254ebdd747f4e7045df1cae8f11a42dc1a547,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7
Zack Hemsey,137033,56,"['epicore', 'scorecore']",https://i.scdn.co/image/ab67616d00001e02ad23694f5312acca60c1c2cb,https://open.spotify.com/artist/2Eg0o1Mok66akOkuOiGdEv
London Music Works,71234,57,"['epicore', 'scorecore', 'theme']",https://i.scdn.co/image/ab676161000051745eedbcd606db5f0d625d6446,https://open.spotify.com/artist/0VeT7hHTJFJZcENGekjCsB
JAY-Z,7148808,88,"['east coast hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174c75afcd5a9027f60eaebb5e4,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
Epic Score,75789,51,['epicore'],https://i.scdn.co/image/ab67616d00001e02091d5bfaa6aaf8e8051cc6f2,https://open.spotify.com/artist/4Kyb02r7dR3H1PH7pYkb8X
Steve Jablonsky,162994,61,"['epicore', 'scorecore', 'soundtrack', 'video game music']",https://i.scdn.co/image/1eb0961d52be1ea6cddf36d3bd41defd80d2dc41,https://open.spotify.com/artist/5Il8YjuVAWkWNH2xgjFMpF
Shierro,4813,61,['lo-fi jazzhop'],https://i.scdn.co/image/ab6761610000517485e17f5faf564b577009a8b7,https://open.spotify.com/artist/7EVtRX3E2y1wcAwd2YituJ
Mg.,627,53,[],https://i.scdn.co/image/ab67616100005174889534766d51101dfc2c432f,https://open.spotify.com/artist/7bcD5oOXcMhEBAFHqL3ljS
Ren Avel,7214,58,['anime lo-fi'],https://i.scdn.co/image/ab67616100005174bc7e97be050bb41d4286be1c,https://open.spotify.com/artist/0G60ExqaVqj0ap0Sysa8AJ
Hans Zimmer,2922775,80,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",https://i.scdn.co/image/ab67616100005174371632043a8c12bb7eeeaf9d,https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ
Azido 88,1509,58,[],https://i.scdn.co/image/ab67616100005174431dac5b7c17e753aec034f3,https://open.spotify.com/artist/36Hfqd2C0x7oulFJTAuIt0
Iván Torrent,52535,48,['epicore'],https://i.scdn.co/image/ab676161000051741a69f793961047040d271871,https://open.spotify.com/artist/3C6hf9ZIza3e2f2Q3XwfcO
Lloyd Banks,1087526,68,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']",https://i.scdn.co/image/a474ecb3ad39cd8fed27e221083fc2bfae45ea59,https://open.spotify.com/artist/3vDUJHQtqT3jFRZ2ECXDTi
Westside Connection,1063622,63,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",https://i.scdn.co/image/3f29ea082ebfc951f40646ff4487ee50157b4425,https://open.spotify.com/artist/3zNM2tRfTX6LI1lN2PlrTt
